"","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"1","(Intercept)",0.194138746063928,0.0286094587450499,6.78582380023247,1.15425446978179e-11,0.138065237306425,0.250212254821432
"2","rescale_tot",0.0172335102520891,0.00429883686198598,4.00887747206288,6.10080592879925e-05,0.00880794482718321,0.0256590756769949
"3","comRel",-0.0694069492316158,0.0227217945761833,-3.05464205298148,0.00225329276571307,-0.113940848265057,-0.0248730501981743
"4","resRel",0.0577001823855657,0.0186908082770892,3.08708866573166,0.00202127296774979,0.0210668713205222,0.0943334934506092
"5","indRel",-0.227787001637419,0.0355231867469131,-6.41234704702312,1.43296263743764e-10,-0.297411168277461,-0.158162834997377
"6","populationsum",0.000491103876516268,0.000456694294862452,1.07534489053379,0.28222034512956,-0.000404000493359057,0.00138620824639159
"7","factor(KE_IBC)Baldia",0.163155540459386,0.0334524008092879,4.87724457773705,1.07578014874044e-06,0.0975900396767767,0.228721041241995
"8","factor(KE_IBC)Bin Qasim",0.234375105739495,0.0362450618375555,6.46640104491824,1.00364605515324e-10,0.163336089920452,0.305414121558538
"9","factor(KE_IBC)Clifton",-0.108790588474235,0.033913311018864,-3.20790230165733,0.00133706911039022,-0.17525945666772,-0.0423217202807496
"10","factor(KE_IBC)Defence",-0.108859842900954,0.028936940765583,-3.76196792130941,0.000168581673825274,-0.165575204624274,-0.0521444811776336
"11","factor(KE_IBC)F.B Area",-0.0251610628100284,0.0319888768305616,-0.786556619143002,0.43154146245482,-0.0878581093038239,0.037535983683767
"12","factor(KE_IBC)Gadap",0.163981621815139,0.0368927354430776,4.44482144914814,8.79648927121224e-06,0.0916731890555357,0.236290054574742
"13","factor(KE_IBC)Garden",-0.0468090819043898,0.0316041304770339,-1.48110646291645,0.138578205935891,-0.108752039402088,0.0151338755933081
"14","factor(KE_IBC)Gulshan-e-Iqbal",-0.104718810634732,0.0305848575428432,-3.42387766521529,0.000617344049893553,-0.164664029891,-0.0447735913784649
"15","factor(KE_IBC)Johar-I",-0.0542968209569131,0.0327290060949188,-1.65898166291529,0.0971194874071011,-0.118444494152753,0.00985085223892656
"16","factor(KE_IBC)Johar-II",0.0558554035091145,0.034228658476263,1.63183151182654,0.102714985018059,-0.0112315343434891,0.122942341361718
"17","factor(KE_IBC)Johar II",0.112194343029303,0.10442505654241,1.0744005964099,0.282643175310662,-0.0924750068773812,0.316863692935988
"18","factor(KE_IBC)KIMZ",0.044812213277219,0.0312197336757231,1.4353810235116,0.151178550535258,-0.0163773403341379,0.106001766888576
"19","factor(KE_IBC)Korangi",0.21357006052735,0.0338284267896569,6.31333114765624,2.73092215508086e-10,0.147267562365965,0.279872558688735
"20","factor(KE_IBC)Landhi",0.194884818687899,0.0397010044336703,4.90881330253241,9.16291553076931e-07,0.117072279847835,0.272697357527963
"21","factor(KE_IBC)Liaquatabad",0.0452703183087219,0.034734590671241,1.30332090961429,0.192465225421739,-0.0228082284246571,0.113348865042101
"22","factor(KE_IBC)Lyari-I",0.046492333528826,0.0338394190294853,1.3739105121254,0.169469465725366,-0.0198317090267324,0.112816376084384
"23","factor(KE_IBC)Lyari-II",0.080408597993244,0.0353731028511511,2.27315648083237,0.0230167517902027,0.01107859038355,0.149738605602938
"24","factor(KE_IBC)Malir",0.156910132119906,0.0345360409989775,4.54337346091728,5.53610433273732e-06,0.0892207355933044,0.224599528646507
"25","factor(KE_IBC)Nazimabad",0.0336236277440211,0.0371593479301623,0.904849778505635,0.365544976117153,-0.0392073558880958,0.106454611376138
"26","factor(KE_IBC)North Karachi",0.0533167675028048,0.0322359102115756,1.65395570197547,0.098136513631043,-0.00986445552075735,0.116497990526367
"27","factor(KE_IBC)North Nazimabad",-0.033431141703888,0.0340033923364542,-0.983170778171072,0.325523394218947,-0.10007656603553,0.0332142826277537
"28","factor(KE_IBC)Orangi-I",0.236929218712774,0.0327182977295368,7.24148978260818,4.43867165245138e-13,0.172802533527416,0.301055903898132
"29","factor(KE_IBC)Orangi-II",0.136516246347833,0.0382278330611282,3.57112175648398,0.000355455597266019,0.0615910703410054,0.21144142235466
"30","factor(KE_IBC)Saddar",-0.0339874040418291,0.0293603173726293,-1.15759661622437,0.24702869079152,-0.0915325686668558,0.0235577605831975
"31","factor(KE_IBC)Shah Faisal",0.054538342920138,0.033496492123305,1.62818072768263,0.103486570025024,-0.0111135752499763,0.120190261090252
"32","factor(KE_IBC)SITE",0.00165916031731053,0.0294624579721083,0.0563143889379911,0.955091356310361,-0.0560861962040543,0.0594045168386753
"33","factor(KE_IBC)Surjani",0.124101187959771,0.035218118761287,3.52378810466695,0.000425424315836143,0.0550749435843873,0.193127432335155
"34","factor(KE_IBC)Tipu Sultan",-0.0357522369310341,0.0298226288471287,-1.19882915467649,0.230594383604456,-0.0942035153957183,0.02269904153365
"35","lambda",0.428554560797321,0.0362525857070661,11.8213515653806,0,0.35750079846502,0.499608323129622
